ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1990-01-01,33.3220426,26.875962177316637,31.312052470372773,33.3220426,33.3220426,-4.2722904586876025,-4.2722904586876025,-4.2722904586876025,-0.00014445448757371106,-0.00014445448757371106,-0.00014445448757371106,-4.272146004200028,-4.272146004200028,-4.272146004200028,0.0,0.0,0.0,29.0497521413124
1990-01-02,33.322093788298105,26.857220999480003,31.094141889201296,33.322093788298105,33.322093788298105,-4.261460458744588,-4.261460458744588,-4.261460458744588,-0.006812508440047944,-0.006812508440047944,-0.006812508440047944,-4.25464795030454,-4.25464795030454,-4.25464795030454,0.0,0.0,0.0,29.060633329553518
1990-01-03,33.32214497659622,26.866220248279753,31.327599727613944,33.32214497659622,33.32214497659622,-4.214152449558654,-4.214152449558654,-4.214152449558654,0.022867455175385226,0.022867455175385226,0.022867455175385226,-4.23701990473404,-4.23701990473404,-4.23701990473404,0.0,0.0,0.0,29.107992527037567
1990-01-04,33.32219616489433,26.957140634525526,31.43883029694106,33.32219616489433,33.32219616489433,-4.200704285532383,-4.200704285532383,-4.200704285532383,0.018497965960029335,0.018497965960029335,0.018497965960029335,-4.219202251492413,-4.219202251492413,-4.219202251492413,0.0,0.0,0.0,29.121491879361947
1990-01-05,33.32224735319244,26.788761924116866,31.42673816457393,33.32224735319244,33.32224735319244,-4.222067883667935,-4.222067883667935,-4.222067883667935,-0.02098036809342089,-0.02098036809342089,-0.02098036809342089,-4.201087515574514,-4.201087515574514,-4.201087515574514,0.0,0.0,0.0,29.1001794695245
1990-01-06,33.32229854149055,26.76173383038046,31.632315048986108,33.32229854149055,33.32229854149055,-4.191796045706539,-4.191796045706539,-4.191796045706539,-0.009270441520023763,-0.009270441520023763,-0.009270441520023763,-4.182525604186515,-4.182525604186515,-4.182525604186515,0.0,0.0,0.0,29.130502495784008
1990-01-07,33.322349729788655,26.92225466319121,31.448846902229086,33.322349729788655,33.322349729788655,-4.167487920711896,-4.167487920711896,-4.167487920711896,-0.004157648594329891,-0.004157648594329891,-0.004157648594329891,-4.163330272117567,-4.163330272117567,-4.163330272117567,0.0,0.0,0.0,29.15486180907676
1990-01-08,33.322400918086764,26.882289180835397,31.528137825977655,33.322400918086764,33.322400918086764,-4.143431031407896,-4.143431031407896,-4.143431031407896,-0.0001444544875759336,-0.0001444544875759336,-0.0001444544875759336,-4.14328657692032,-4.14328657692032,-4.14328657692032,0.0,0.0,0.0,29.178969886678868
1990-01-09,33.32245210638487,26.97228888590608,31.46565969057599,33.32245210638487,33.32245210638487,-4.1289715724897285,-4.1289715724897285,-4.1289715724897285,-0.006812508440064367,-0.006812508440064367,-0.006812508440064367,-4.122159064049665,-4.122159064049665,-4.122159064049665,0.0,0.0,0.0,29.193480533895144
1990-01-10,33.32250329468298,26.904774749680424,31.44644297334601,33.32250329468298,33.32250329468298,-4.0768329499187095,-4.0768329499187095,-4.0768329499187095,0.022867455175369516,0.022867455175369516,0.022867455175369516,-4.099700405094079,-4.099700405094079,-4.099700405094079,0.0,0.0,0.0,29.24567034476427
1990-01-11,33.32255448298109,26.96214343346127,31.486844477642,33.32255448298109,33.32255448298109,-4.0571622381582335,-4.0571622381582335,-4.0571622381582335,0.018497965960017477,0.018497965960017477,0.018497965960017477,-4.07566020411825,-4.07566020411825,-4.07566020411825,0.0,0.0,0.0,29.265392244822856
1990-01-12,33.3226056712792,27.105565140504464,31.57361590753148,33.3226056712792,33.3226056712792,-4.070774056110051,-4.070774056110051,-4.070774056110051,-0.020980368093422127,-0.020980368093422127,-0.020980368093422127,-4.049793688016629,-4.049793688016629,-4.049793688016629,0.0,0.0,0.0,29.25183161516915
