ds,y,yhat,yhat_lower,yhat_upper,error,uncertainty,anomaly
2015-01-04,1039.0,595.9713730283137,-8.307327264148363,1171.0258837742792,443.0286269716863,1179.3332110384276,No
2015-01-05,3161.0,2775.2795704399955,2155.6905585265995,3355.028192859198,385.7204295600045,1199.3376343325986,No
2015-01-06,3534.0,3195.57912742444,2605.3390065949884,3755.2616934986095,338.4208725755602,1149.922686903621,No
2015-01-07,3618.0,3315.105260933914,2778.6947775979397,3955.049719369893,302.894739066086,1176.3549417719532,No
2015-01-08,2351.0,3496.8114270199435,2916.524513966352,4051.291114930312,-1145.8114270199435,1134.7666009639597,No
2015-01-09,3505.0,3454.1218683886896,2834.363890318157,4052.333365460002,50.87813161131044,1217.9694751418451,No
2015-01-10,1436.0,2019.8879813427816,1408.5447349750043,2639.462780233292,-583.8879813427816,1230.9180452582877,No
2015-01-11,1813.0,1938.1220692551024,1305.2984222365822,2508.455931347288,-125.12206925510236,1203.1575091107056,No
2015-01-12,3418.0,3712.1511335718014,3094.3778628118284,4313.214762416192,-294.15113357180144,1218.8368996043632,No
2015-01-13,3960.0,3911.806722258431,3312.2478146042645,4514.793397541568,48.19327774156909,1202.5455829373036,No
2015-01-14,3904.0,3848.9785275696354,3208.354068317793,4459.854549049583,55.02147243036461,1251.5004807317896,No
2015-01-15,3673.0,3848.7911538890025,3240.6336172268284,4440.442026628462,-175.79115388900254,1199.808409401634,No
2015-01-16,3546.0,3256.251756125568,2654.191430607457,3898.822101830899,289.74824387443186,1244.6306712234423,No
2015-01-17,1531.0,1840.5499668873397,1242.6808064365212,2434.146321193929,-309.5499668873397,1191.4655147574078,No
2015-01-18,1450.0,1742.9228257175198,1206.7310474210103,2335.1539031589623,-292.9228257175198,1128.422855737952,No
2015-01-19,3554.0,3342.6917757769247,2711.499512625263,3968.713251768575,211.30822422307529,1257.213739143312,No
2015-01-20,3700.0,3583.7022792162893,2986.1010877413405,4214.790265879564,116.2977207837107,1228.6891781382233,No
2015-01-21,3655.0,3385.3970012667223,2758.556024112448,3983.9949113140433,269.6029987332777,1225.4388872015952,No
2015-01-22,3828.0,3484.2681482897974,2905.1830674028606,4100.364027859009,343.7318517102026,1195.1809604561486,No
2015-01-23,3328.0,3307.465921884801,2756.9075987125307,3930.0030489771016,20.53407811519901,1173.095450264571,No
2015-01-24,1798.0,1885.2210081513192,1312.3315527991515,2522.07528795947,-87.22100815131921,1209.7437351603187,No
2015-01-25,1705.0,1919.3691062594348,1299.6927254377035,2478.3641286033685,-214.36910625943483,1178.671403165665,No
2015-01-26,3589.0,3536.59072956534,2940.9242738894063,4095.343192351003,52.4092704346599,1154.4189184615966,No
2015-01-27,3835.0,3607.107491720486,3002.8553063215672,4235.650422070205,227.892508279514,1232.7951157486382,No
2015-01-28,3576.0,3592.4849293616894,2980.7711156861765,4242.0205796991495,-16.48492936168941,1261.249464012973,No
2015-01-29,3783.0,3364.9332360477524,2764.0369489196205,3912.592207154365,418.0667639522476,1148.5552582347445,No
2015-01-30,3090.0,2885.5336783751814,2308.622943452091,3483.217772547693,204.46632162481865,1174.594829095602,No
2015-01-31,926.0,1374.6358170211329,773.4590445495289,1979.7195170082025,-448.6358170211329,1206.2604724586736,No
2015-02-01,1117.0,1504.3558809911483,870.9273550399952,2095.2202368044104,-387.3558809911483,1224.2928817644151,No
2015-02-02,3556.0,2893.149800607456,2303.5586521616437,3492.260491583962,662.8501993925438,1188.7018394223182,No
2015-02-03,2972.0,3154.296859768844,2524.538813453948,3724.394708524135,-182.29685976884412,1199.8558950701868,No
2015-02-04,3502.0,3189.607627216242,2538.4690561892976,3789.361116859318,312.3923727837582,1250.8920606700203,No
2015-02-05,2894.0,3207.554438478613,2613.9931875318966,3777.530594395719,-313.55443847861306,1163.5374068638225,No
